%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1683047731.499299487,184,1683047731.499299487,-0.0104687,-0.000327443,-0.00345549,0.000187192,-0.000136631,0.0002631,1
1683047731.600679202,185,1683047731.600679202,-0.0100629,0.00131545,-0.00353724,0.00015295,-0.000103479,0.000343533,1
1683047731.702111508,186,1683047731.702111508,-0.0114697,0.00110122,-0.00439314,0.000182482,-0.000165545,0.000252049,1
1683047731.803942119,187,1683047731.803942119,-0.0127011,1.0349e-05,-0.00443013,0.00023818,-0.000102315,0.000329403,1
1683047731.916807020,188,1683047731.916807020,-0.0151255,0.000249941,-0.00149363,0.000139078,-0.00013675,0.000374046,1
1683047732.071338262,189,1683047732.071338262,-0.0179859,-0.00105346,-0.000612867,0.000176857,-0.000134972,0.000376598,1
1683047732.110127085,190,1683047732.110127085,-0.0186445,0.000289246,-0.00104067,0.000181407,-0.000110737,0.000395016,1
1683047732.223464790,191,1683047732.223464790,-0.0169851,-0.000234472,0.00169202,0.000130664,-8.66672e-05,0.000432911,1
1683047732.322857745,192,1683047732.322857745,-0.0142512,7.36258e-05,0.00134165,0.0001769,-5.64041e-05,0.00039398,1
1683047732.423024708,193,1683047732.423024708,-0.0142936,-0.00053564,0.000666547,0.00020367,-8.38652e-05,0.000445544,1
1683047732.535067365,194,1683047732.535067365,-0.0134222,-0.0029715,0.00209403,0.000136783,-8.9063e-05,0.000401191,1
1683047732.603501601,195,1683047732.603501601,-0.014817,-0.000609604,-0.00242628,0.000262925,-0.000101964,0.000284153,1
1683047732.704560078,196,1683047732.704560078,-0.0139299,0.00202093,-0.00370049,0.000172142,-0.000130447,0.000313598,1
1683047732.808354201,197,1683047732.808354201,-0.0145344,0.00104225,-0.00303393,0.000173871,-0.000139454,0.000292371,1
1683047732.899576660,198,1683047732.899576660,-0.0140169,0.00115676,-0.00393857,0.000194529,-0.000173417,0.000378095,1
