time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577840638.09929490,0.05774005,0.00278609,0.00000901,41365.00000000,0.08060375,0.000000,0.000000
1577840638.19992185,0.05784761,0.00397008,0.00000863,41374.00000000,0.11840647,0.000000,0.000000
1577840638.29975390,0.05795472,0.00371405,0.00000767,41386.00000000,0.11836506,0.000000,0.000000
1577840638.39959598,0.05807439,0.00415592,0.00000907,41390.00000000,0.12568788,0.000000,0.000000
1577840638.49942708,0.05815983,0.00341609,0.00000966,41370.00000000,0.10652029,0.000000,0.000000
1577840638.59966302,0.05814071,0.00477100,0.00000619,41394.00000000,0.04729603,0.000000,0.000000
1577840638.69951797,0.05817234,0.00443243,0.00000864,41441.00000000,0.07614204,0.000000,0.000000
1577840638.79936099,0.05819379,0.01025831,0.00000756,41527.00000000,0.07039391,0.000000,0.000000
1577840638.89999795,0.05824141,0.00368378,0.00001087,41602.00000000,0.08538893,0.000000,0.000000
1577840638.99984312,0.05835386,0.00525352,0.00000880,41648.00000000,0.12256261,0.000000,0.000000
1577840639.09966397,0.05840925,0.01326479,0.00000764,41711.00000000,0.09008859,0.000000,0.000000
1577840639.19951415,0.05848053,0.00662160,0.00001028,41751.00000000,0.09932484,0.000000,0.000000
1577840639.29934478,0.05846267,0.00447257,0.00000562,41879.00000000,0.04821182,0.000000,0.000000
1577840639.39997911,0.05842445,0.00426471,0.00000726,41998.00000000,0.03644837,0.000000,0.000000
1577840639.49981999,0.05843498,0.01168096,0.00000919,42064.00000000,0.06449797,0.000000,0.000000
1577840639.59966993,0.05852203,0.00695407,0.00000898,42199.00000000,0.10875425,0.000000,0.000000
1577840639.69951010,0.05868540,0.00370410,0.00000887,42005.00000000,0.15310915,0.000000,0.000000
1577840639.79934692,0.05876320,0.01113949,0.00000600,42148.00000000,0.10381028,0.000000,0.000000
1577840639.89998198,0.05899211,0.00429404,0.00001781,42313.00000000,0.19175951,0.000000,0.000000
1577840639.99982786,0.05913830,0.00524939,0.00000649,42459.00000000,0.14407856,0.000000,0.000000
1577840640.09966588,0.05940018,0.00487092,0.00000762,42515.00000000,0.21181369,0.000000,0.000000
1577840640.19949794,0.05955638,0.00445482,0.00000717,42611.00000000,0.15061950,0.000000,0.000000
1577840640.29933500,0.05971709,0.01248959,0.00001806,42732.00000000,0.15357129,0.000000,0.000000
1577840640.39997602,0.05972700,0.00402559,0.00000575,41992.00000000,0.06552303,0.000000,0.000000
1577840640.49981689,0.05972388,0.00801094,0.00000989,42116.00000000,0.05789862,0.000000,0.000000
1577840640.59967589,0.05967868,0.00367338,0.00000665,42188.00000000,0.03314616,0.000000,0.000000
1577840640.69952798,0.05961185,0.00357014,0.00000556,42242.00000000,0.02031574,0.000000,0.000000
1577840640.79936314,0.05954452,0.00344503,0.00000552,42295.00000000,0.01988600,0.000000,0.000000
1577840640.89998388,0.05948903,0.00231352,0.00000664,42324.00000000,0.02675041,0.000000,0.000000
1577840640.99982691,0.05942515,0.00373952,0.00000610,42344.00000000,0.02167216,0.000000,0.000000
1577840641.09966397,0.05939995,0.00337746,0.00000724,42366.00000000,0.04447847,0.000000,0.000000
1577840641.19952011,0.05950625,0.00655930,0.00000798,42390.00000000,0.12254244,0.000000,0.000000
1577840641.29935098,0.05949282,0.00303802,0.00000935,42411.00000000,0.05151912,0.000000,0.000000
1577840641.39960408,0.05947237,0.00306309,0.00000838,42406.00000000,0.04730300,0.000000,0.000000
1577840641.49945283,0.05943338,0.00279303,0.00000737,42410.00000000,0.03619718,0.000000,0.000000
1577840641.59928012,0.05940661,0.00499033,0.00000644,42419.00000000,0.04342279,0.000000,0.000000
1577840641.69991899,0.05935332,0.00451217,0.00000483,42432.00000000,0.02748655,0.000000,0.000000
1577840641.79974914,0.05930162,0.00796447,0.00000467,42435.00000000,0.02833443,0.000000,0.000000
1577840641.89958715,0.05923593,0.00293974,0.00000489,42425.00000000,0.01982237,0.000000,0.000000
1577840641.99943995,0.05917053,0.00291215,0.00000473,42429.00000000,0.01986129,0.000000,0.000000
1577840642.09966302,0.05917968,0.00275945,0.00000708,42428.00000000,0.06468749,0.000000,0.000000
1577840642.19951320,0.05916348,0.00548147,0.00000476,42422.00000000,0.04939725,0.000000,0.000000
1577840642.29934788,0.05918083,0.00329161,0.00001178,42427.00000000,0.06965739,0.000000,0.000000
1577840642.39998007,0.05921845,0.00772095,0.00000850,42438.00000000,0.08198083,0.000000,0.000000
1577840642.49981308,0.05928585,0.00794465,0.00000658,42445.00000000,0.10013070,0.000000,0.000000
1577840642.59964013,0.05933223,0.00755901,0.00000973,42440.00000000,0.08748704,0.000000,0.000000
1577840642.69946814,0.05939966,0.00847132,0.00000702,42458.00000000,0.10039349,0.000000,0.000000
1577840642.79930282,0.05944573,0.00361679,0.00000788,42469.00000000,0.08750217,0.000000,0.000000
1577840642.89994383,0.05939744,0.00295885,0.00000581,42480.00000000,0.02993965,0.000000,0.000000
1577840642.99977589,0.05942758,0.00297332,0.00000871,42489.00000000,0.07784520,0.000000,0.000000
